age,sex,height,weight
13.93,F,132.68,52.95
7.9,F,94.46,29.85
15.45,F,137.63,61.91
12.55,F,118.39,48.33
1.7,M,53.28,6.26
17.56,F,165.37,73.78
13.7,F,132.11,53.73
14.15,F,136.89,52.71
2.31,F,54.0,10.0
8.11,F,89.06,28.82
6.67,M,86.61,22.26
16.68,F,154.18,64.72
11.59,M,119.66,40.47
14.81,M,140.99,59.23
7.98,F,92.43,27.75
4.09,F,68.08,11.69
9.98,M,109.21,36.49
1.15,M,55.5,8.59
14.9,M,137.36,61.01
11.37,M,109.72,46.32
13.65,M,135.86,56.33
6.38,M,87.0,20.11
17.47,F,157.22,76.18
16.08,F,143.69,62.88
14.01,F,133.86,56.07
3.5,M,68.99,13.61
8.4,M,101.72,29.01
0.79,M,52.7,1.78
2.78,F,58.94,9.45
12.29,M,120.35,42.77
13.41,M,131.12,54.38
17.42,M,160.92,76.93
5.86,F,75.2,17.35
6.67,M,91.38,24.37
8.45,M,102.02,28.42
3.41,F,67.07,10.09
2.34,F,54.84,10.63
8.56,M,99.96,30.57
4.08,M,71.49,19.5
12.06,F,120.65,42.86
7.87,F,94.62,29.0
14.99,F,142.82,58.68
12.6,M,127.48,50.11
5.62,M,80.68,18.91
14.98,F,141.88,58.28
14.49,M,133.76,57.06
6.97,M,87.41,22.62
5.19,F,72.47,18.77
12.28,F,117.12,46.74
2.52,M,65.63,12.15
3.6,F,69.93,16.05
0.13,M,51.77,8.42
14.16,F,135.47,53.29
11.97,F,122.74,44.58
12.69,M,125.93,46.98
14.05,F,134.48,53.72
8.26,M,92.13,28.0
10.24,F,107.81,40.05
2.52,M,60.77,11.58
2.06,M,54.15,8.92
12.03,F,118.99,46.93
8.48,F,94.61,23.42
10.17,M,113.58,32.2
13.77,F,134.46,54.24
11.42,F,114.89,41.34
9.96,M,107.5,36.98
10.07,F,105.58,31.96
5.47,F,75.24,17.97
0.55,M,46.66,10.76
7.86,M,92.37,30.03
3.86,F,64.04,13.41
7.35,M,85.81,24.99
15.36,F,145.29,59.41
4.21,F,69.49,8.71
1.05,M,47.19,7.56
5.06,M,75.02,20.32
5.28,F,77.7,13.48
11.91,M,123.49,43.25
10.03,M,110.26,33.72
14.11,F,134.42,51.54
11.96,F,116.08,43.74
7.31,F,84.07,19.23
14.65,F,139.4,58.24
3.01,F,62.49,12.4
0.41,M,53.0,4.79
1.62,F,56.94,0.63
13.0,F,125.74,46.02
8.31,F,90.03,31.28
2.9,F,59.81,3.28
9.02,M,101.06,31.61
2.74,F,59.25,6.83
12.53,M,123.01,49.8
8.03,F,92.68,25.43
6.86,M,84.91,25.3
5.43,M,75.69,20.8
11.35,M,117.23,46.92
6.51,F,81.05,21.06
1.58,F,54.14,7.66
2.12,M,59.23,5.91
17.31,M,157.6,75.55
16.35,M,152.0,65.33
12.59,M,129.5,46.67
4.79,F,68.23,15.76
17.45,M,155.71,69.41
14.02,M,130.02,55.56
12.9,M,127.51,51.96
8.09,M,94.39,29.57
4.9,F,72.05,12.21
1.74,F,57.91,6.81
16.25,M,144.58,68.49
8.2,F,94.23,23.08
3.64,M,71.69,11.15
5.51,M,74.68,21.84
10.43,M,108.77,38.98
3.18,M,62.1,13.54
15.42,M,143.52,66.85
13.65,F,129.93,52.85
12.95,F,130.04,49.91
7.78,F,95.8,32.94
11.29,M,114.91,41.56
10.51,M,116.23,36.69
11.7,M,118.88,44.99
1.52,M,60.35,9.17
7.48,M,90.12,25.25
0.75,F,49.33,2.12
8.89,F,98.66,36.24
5.94,F,88.23,20.41
2.6,F,61.62,7.57
1.86,F,52.83,9.73
10.58,F,111.86,37.19
3.07,M,62.64,11.57
16.65,F,152.31,68.77
10.46,F,110.86,33.72
6.24,F,80.68,21.52
10.64,F,110.2,42.5
0.41,M,49.19,6.59
17.25,F,159.55,69.79
8.68,M,99.45,29.87
14.09,F,128.33,52.82
1.49,F,54.92,5.86
8.76,F,93.74,29.0
8.83,M,94.84,34.02
16.88,F,155.4,64.3
10.29,F,107.24,38.39
8.52,M,95.05,29.56
4.81,M,76.33,18.32
5.97,F,74.86,16.87
9.37,F,99.54,35.72
7.9,F,89.32,29.74
0.39,F,46.9,6.27
14.87,M,142.87,55.56
16.13,F,146.67,66.58
2.52,M,62.81,11.7
9.97,F,105.0,30.87
1.95,M,51.79,9.12
12.1,F,113.76,45.17
5.06,M,75.34,19.59
11.87,F,117.33,43.65
13.09,M,128.44,51.14
13.84,M,134.18,57.77
1.94,F,56.06,10.71
16.49,M,157.33,60.79
